    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
  271   194379   149280   105021    63899   63.53%   48.79%   34.32%   20.88%
  270   197346   152901   108499    67709   64.50%   49.97%   35.46%   22.13%
  269   200063   156277   112235    71906   65.39%   51.08%   36.68%   23.50%
  268   202359   159016   114975    74409   66.14%   51.97%   37.58%   24.32%
  267   205156   162267   119254    78582   67.05%   53.03%   38.98%   25.68%
  266   206765   164189   121118    80449   67.58%   53.66%   39.59%   26.29%
  265   208232   165760   122656    82022   68.06%   54.18%   40.09%   26.81%
  264   209496   167093   123950    83180   68.47%   54.61%   40.51%   27.19%
  263   211449   169398   126537    86364   69.11%   55.36%   41.36%   28.23%
  262   214013   172640   130568    90418   69.95%   56.42%   42.67%   29.55%
  261   215652   174463   132607    92329   70.48%   57.02%   43.34%   30.18%
  260   218084   177646   135762    95794   71.28%   58.06%   44.37%   31.31%
  259   220982   181657   141651   101688   72.22%   59.37%   46.30%   33.24%
  258   222126   182913   142910   103175   72.60%   59.78%   46.71%   33.72%
  257   223237   184155   144214   104525   72.96%   60.19%   47.13%   34.16%
  256   225229   186602   146719   107295   73.61%   60.99%   47.95%   35.07%
  255   226379   187957   148113   109173   73.99%   61.43%   48.41%   35.68%
  254   227541   189333   149550   110743   74.37%   61.88%   48.88%   36.19%
  253   229479   191696   152185   113399   75.00%   62.65%   49.74%   37.06%
  252   230780   193135   153684   115198   75.43%   63.12%   50.23%   37.65%
  251   232071   194907   155183   116977   75.85%   63.70%   50.72%   38.23%
