    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
  270   100.0%  12.3    0.063     0.101   6.42   0.023781    2.378%
  271   100.0%  14.0     0.04    0.0785   6.50   0.023983    2.398%
  272   100.0%  15.0    0.032    0.0717   6.57   0.024158    2.416%
  273   100.0%  15.0    0.032    0.0739   6.64   0.024340    2.434%
  274   100.0%  12.2    0.063     0.105   6.75   0.024633    2.463%
  275   100.0%  12.8     0.05    0.0979   6.85   0.024900    2.490%
  276   100.0%  12.7     0.05    0.0989   6.95   0.025168    2.517%
  277   100.0%  12.1    0.063     0.107   7.05   0.025464    2.546%
  278   100.0%  11.1    0.079     0.118   7.17   0.025798    2.580%
  279   100.0%  11.5    0.079     0.114   7.29   0.026115    2.612%
  280   100.0%  11.7    0.063     0.111   7.40   0.026417    2.642%
  281   100.0%  11.8    0.063     0.111   7.51   0.026717    2.672%
  282   100.0%  11.8    0.063     0.112   7.62   0.027019    2.702%
  283   100.0%  12.4    0.063    0.0998   7.72   0.027277    2.728%
  284   100.0%  12.9     0.05    0.0919   7.81   0.027504    2.750%
  285   100.0%  11.7    0.063     0.106   7.92   0.027780    2.778%
  286   100.0%  11.4    0.079     0.112   8.03   0.028074    2.807%
  287   100.0%  11.3    0.079     0.117   8.15   0.028384    2.838%
  288   100.0%  10.7    0.079     0.125   8.27   0.028718    2.872%
  289   100.0%  10.8    0.079     0.123   8.39   0.029044    2.904%
  290   100.0%  11.9    0.063     0.104   8.50   0.029302    2.930%
  291   100.0%  12.1    0.063     0.101   8.60   0.029547    2.955%
  292   100.0%  11.8    0.063     0.105   8.70   0.029806    2.981%
  293   100.0%  14.2     0.04    0.0709   8.77   0.029947    2.995%
  294   100.0%  12.9     0.05    0.0873   8.86   0.030142    3.014%
  295   100.0%  12.0    0.063    0.0951   8.96   0.030362    3.036%
  296   100.0%  13.7     0.04    0.0803   9.04   0.030531    3.053%
  297   100.0%  12.9     0.05    0.0876   9.12   0.030723    3.072%
  298   100.0%  13.3     0.05    0.0833   9.21   0.030899    3.090%
  299   100.0%  13.3     0.05    0.0838   9.29   0.031076    3.108%
  300   100.0%  13.1     0.05    0.0879   9.38   0.031266    3.127%
  301   100.0%  11.6    0.063     0.104   9.48   0.031509    3.151%

    L   1.0000   0.5000   0.2500   0.1000   1.0000   0.5000   0.2500   0.1000
-----  -------  -------  -------  -------  -------  -------  -------  -------
  302        6        3        3        1    0.00%    0.00%    0.00%    0.00%
  301        6        3        3        1    0.00%    0.00%    0.00%    0.00%
  300        6        3        3        1    0.00%    0.00%    0.00%    0.00%
  299        6        3        3        1    0.00%    0.00%    0.00%    0.00%
  298        6        3        3        1    0.00%    0.00%    0.00%    0.00%
  297        6        3        3        1    0.00%    0.00%    0.00%    0.00%
  296        7        3        3        1    0.00%    0.00%    0.00%    0.00%
  295        9        3        3        1    0.00%    0.00%    0.00%    0.00%
  294        9        3        3        1    0.00%    0.00%    0.00%    0.00%
  293        9        3        3        1    0.00%    0.00%    0.00%    0.00%
  292       10        3        3        1    0.00%    0.00%    0.00%    0.00%
  291       12        3        3        1    0.00%    0.00%    0.00%    0.00%
  290       16        3        3        1    0.01%    0.00%    0.00%    0.00%
  289       18        3        3        1    0.01%    0.00%    0.00%    0.00%
  288       21        3        3        1    0.01%    0.00%    0.00%    0.00%
  287       24        3        3        1    0.01%    0.00%    0.00%    0.00%
  286       26        4        3        1    0.01%    0.00%    0.00%    0.00%
  285       35        4        3        1    0.01%    0.00%    0.00%    0.00%
  284       39        4        3        1    0.01%    0.00%    0.00%    0.00%
  283       44        5        3        1    0.01%    0.00%    0.00%    0.00%
  282       54        5        3        1    0.02%    0.00%    0.00%    0.00%
  281       65        5        3        1    0.02%    0.00%    0.00%    0.00%
  280       82        5        3        1    0.03%    0.00%    0.00%    0.00%
  279      109        7        3        1    0.04%    0.00%    0.00%    0.00%
  278      133        8        3        1    0.04%    0.00%    0.00%    0.00%
  277      163       10        3        1    0.05%    0.00%    0.00%    0.00%
  276      215       13        3        1    0.07%    0.00%    0.00%    0.00%
  275      270       15        3        1    0.09%    0.00%    0.00%    0.00%
  274      357       19        5        1    0.12%    0.01%    0.00%    0.00%
  273      405       21        6        1    0.13%    0.01%    0.00%    0.00%
  272      437       23        6        1    0.14%    0.01%    0.00%    0.00%
  271      520       26        6        1    0.17%    0.01%    0.00%    0.00%
  270      639       31        7        1    0.21%    0.01%    0.00%    0.00%
  269      782       44        8        1    0.26%    0.01%    0.00%    0.00%
  268      936       56        9        1    0.31%    0.02%    0.00%    0.00%
  267     1178       78       12        1    0.39%    0.03%    0.00%    0.00%
  266     1486      107       15        1    0.49%    0.03%    0.00%    0.00%
  265     1723      131       18        1    0.56%    0.04%    0.01%    0.00%
  264     1999      163       20        1    0.65%    0.05%    0.01%    0.00%
  263     2414      203       26        1    0.79%    0.07%    0.01%    0.00%
  262     3091      311       37        1    1.01%    0.10%    0.01%    0.00%
  261     3561      377       45        1    1.16%    0.12%    0.01%    0.00%
  260     3861      407       51        2    1.26%    0.13%    0.02%    0.00%
  259     4504      496       63        2    1.47%    0.16%    0.02%    0.00%
  258     5416      635       85        2    1.77%    0.21%    0.03%    0.00%
  257     5957      715      100        2    1.95%    0.23%    0.03%    0.00%
  256     6755      838      127        4    2.21%    0.27%    0.04%    0.00%
  255     7694      996      150        5    2.51%    0.33%    0.05%    0.00%
  254     9218     1282      203        5    3.01%    0.42%    0.07%    0.00%
  253     9635     1340      213        5    3.15%    0.44%    0.07%    0.00%
  252    11606     1773      279        6    3.79%    0.58%    0.09%    0.00%
