    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
  269   100.0%  12.6     0.05     0.103   7.51   0.027922    2.792%
  270   100.0%  12.3    0.063     0.106   7.62   0.028209    2.821%
  271   100.0%  12.9     0.05    0.0988   7.72   0.028469    2.847%
  272   100.0%  12.5     0.05     0.102   7.82   0.028741    2.874%
  273   100.0%  12.2    0.063     0.106   7.92   0.029024    2.902%
  274   100.0%  12.0    0.063     0.107   8.03   0.029308    2.931%
  275   100.0%  12.0    0.063     0.108   8.14   0.029595    2.959%
  276   100.0%  12.3    0.063     0.106   8.24   0.029870    2.987%
  277   100.0%  12.2    0.063     0.108   8.35   0.030150    3.015%
  278   100.0%  11.4    0.079     0.118   8.47   0.030466    3.047%
  279   100.0%  11.3    0.079     0.118   8.59   0.030779    3.078%
  280   100.0%  11.1    0.079     0.119   8.71   0.031095    3.110%
  281   100.0%  11.2    0.079     0.119   8.83   0.031408    3.141%
  282   100.0%  11.4    0.079     0.115   8.94   0.031703    3.170%
  283   100.0%  11.5    0.079     0.115   9.05   0.031996    3.200%
  284   100.0%  12.4    0.063     0.099   9.15   0.032232    3.223%
  285   100.0%  12.8     0.05     0.096   9.25   0.032456    3.246%
  286   100.0%  11.6    0.063     0.112   9.36   0.032734    3.273%
  287   100.0%  11.4    0.079     0.114   9.48   0.033019    3.302%
  288   100.0%  11.3    0.079     0.115   9.59   0.033305    3.330%
  289   100.0%  11.4    0.079     0.116   9.71   0.033591    3.359%
  290   100.0%  11.3    0.079     0.117   9.82   0.033879    3.388%
  291   100.0%  11.2    0.079     0.117   9.94   0.034166    3.417%
  292   100.0%  10.9    0.079     0.119  10.06   0.034457    3.446%
  293   100.0%  11.9    0.063     0.102  10.16   0.034687    3.469%
  294   100.0%  11.3    0.079     0.111  10.27   0.034946    3.495%
  295   100.0%  11.3    0.079      0.11  10.38   0.035202    3.520%
  296   100.0%  11.4    0.079      0.11  10.49   0.035453    3.545%
  297   100.0%  11.0    0.079     0.116  10.61   0.035725    3.572%
  298   100.0%  11.3    0.079     0.113  10.72   0.035984    3.598%
  299   100.0%  11.3    0.079     0.114  10.84   0.036245    3.624%
  300   100.0%  11.5    0.079     0.112  10.95   0.036497    3.650%
  301   100.0%  10.6    0.079     0.123  11.07   0.036783    3.678%

    L   1.0000   0.5000   0.2500   0.1000   1.0000   0.5000   0.2500   0.1000
-----  -------  -------  -------  -------  -------  -------  -------  -------
  297        2        0        0        0    0.01%    0.00%    0.00%    0.00%
  296        2        0        0        0    0.01%    0.00%    0.00%    0.00%
  295        2        0        0        0    0.01%    0.00%    0.00%    0.00%
  294        3        0        0        0    0.01%    0.00%    0.00%    0.00%
  293        3        0        0        0    0.01%    0.00%    0.00%    0.00%
  292        3        0        0        0    0.01%    0.00%    0.00%    0.00%
  291        4        0        0        0    0.01%    0.00%    0.00%    0.00%
  290        5        0        0        0    0.02%    0.00%    0.00%    0.00%
  289        5        0        0        0    0.02%    0.00%    0.00%    0.00%
  288        7        0        0        0    0.02%    0.00%    0.00%    0.00%
  287        8        0        0        0    0.02%    0.00%    0.00%    0.00%
  286        9        0        0        0    0.03%    0.00%    0.00%    0.00%
  285       11        0        0        0    0.03%    0.00%    0.00%    0.00%
  284       14        0        0        0    0.04%    0.00%    0.00%    0.00%
  283       17        0        0        0    0.05%    0.00%    0.00%    0.00%
  282       20        0        0        0    0.06%    0.00%    0.00%    0.00%
  281       23        0        0        0    0.07%    0.00%    0.00%    0.00%
  280       32        1        0        0    0.10%    0.00%    0.00%    0.00%
  279       39        1        0        0    0.12%    0.00%    0.00%    0.00%
  278       49        2        0        0    0.15%    0.01%    0.00%    0.00%
  277       55        2        0        0    0.17%    0.01%    0.00%    0.00%
  276       62        2        0        0    0.19%    0.01%    0.00%    0.00%
  275       77        2        0        0    0.24%    0.01%    0.00%    0.00%
  274       99        3        1        0    0.31%    0.01%    0.00%    0.00%
